"spkid","name","neo"
20000433,Eros,Y
20000719,Albert,Y
20000887,Alinda,Y
20001036,Ganymed,Y
20001221,Amor,Y
20001566,Icarus,Y
20001580,Betulia,Y
20001620,Geographos,Y
20001627,Ivar,Y
20001685,Toro,Y
20001862,Apollo,Y
20001863,Antinous,Y
20001864,Daedalus,Y
20001865,Cerberus,Y
20001866,Sisyphus,Y
20001915,Quetzalcoatl,Y
20001916,Boreas,Y
20001917,Cuyo,Y
20001943,Anteros,Y
20001980,Tezcatlipoca,Y
20001981,Midas,Y
20002059,Baboquivari,Y
20002061,Anza,Y
20002062,Aten,Y
20002063,Bacchus,Y
20002100,Ra-Shalom,Y
20002101,Adonis,Y
20002102,Tantalus,Y
20002135,Aristaeus,Y
20002201,Oljato,Y
20002202,Pele,Y
20002212,Hephaistos,Y
20002329,Orthos,Y
20002340,Hathor,Y
20002368,Beltrovata,Y
20002608,Seneca,Y
20003102,Krok,Y
20003103,Eger,Y
20003122,Florence,Y
20003199,Nefertiti,Y
20003200,Phaethon,Y
20003271,Ul,Y
20003288,Seleucus,Y
20003352,McAuliffe,Y
20003360,Syrinx,Y
20003361,Orpheus,Y
20003362,Khufu,Y
20003551,Verenia,Y
20003552,"Don Quixote",Y
20003553,Mera,Y
20003554,Amun,Y
20003671,Dionysus,Y
20003691,Bede,Y
20003752,Camillo,Y
20003753,Cruithne,Y
20003757,Anagolay,Y
20003838,Epona,Y
20003908,Nyx,Y
20003988,Huma,Y
20004015,Wilson-Harrington,Y
20004034,Vishnu,Y
20004055,Magellan,Y
20004179,Toutatis,Y
20004183,Cuno,Y
20004197,Morpheus,Y
20004257,Ubasti,Y
20004341,Poseidon,Y
20004401,Aditi,Y
20004450,Pan,Y
20004486,Mithra,Y
20004487,Pocahontas,Y
20004503,Cleobulus,Y
20004544,Xanthus,Y
20004581,Asclepius,Y
20004596,,Y
20004660,Nereus,Y
20004688,,Y
20004769,Castalia,Y
20004947,Ninkasi,Y
20004953,,Y
20004954,Eric,Y
20004957,Brucemurray,Y
20005011,Ptah,Y
20005131,,Y
20005143,Heracles,Y
20005189,,Y
20005324,Lyapunov,Y
20005332,Davidaguilar,Y
20005370,Taranis,Y
20005381,Sekhmet,Y
20005496,,Y
20005587,,Y
20005590,,Y
20005604,,Y
20005620,Jasonwheeler,Y
20005626,Melissabrucker,Y
20005645,,Y
20005646,,Y
20005653,Camarillo,Y
20005660,,Y
20005693,,Y
20005731,Zeus,Y
20005751,Zao,Y
20005786,Talos,Y
20005797,Bivoj,Y
20005828,,Y
20005836,,Y
20005863,Tara,Y
20005869,Tanith,Y
20005879,Almeria,Y
20006037,,Y
20006047,,Y
20006050,Miwablock,Y
20006053,,Y
20006063,Jason,Y
20006178,,Y
20006239,Minos,Y
20006455,,Y
20006456,Golombek,Y
20006489,Golevka,Y
20006491,,Y
20006569,Ondaatje,Y
20006611,,Y
20007025,,Y
20007088,Ishtar,Y
20007092,Cadmus,Y
20007236,,Y
20007335,,Y
20007336,Saunders,Y
20007341,,Y
20007350,,Y
20007358,Oze,Y
20007474,,Y
20007480,Norwan,Y
20007482,,Y
20007753,,Y
20007822,,Y
20007839,,Y
20007888,,Y
20007889,,Y
20007977,,Y
20008013,Gordonmoore,Y
20008014,,Y
20008034,Akka,Y
20008035,,Y
20008037,,Y
20008176,,Y
20008201,,Y
